Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1999-11-30,3238.042246,480.5885584,1320.088383,2800.619692,10736.22792,2943.999019,5406.526217,255.0700259,1073.456094,2866.436698,1590.769881,2501.593216,9008.890671,311.2906045,452.3745178
1999-12-31,3331.621667,492.8916255,1375.136069,2917.685595,12653.71823,3183.934939,6353.208958,279.0976223,1210.429092,3057.341382,1645.492365,2667.699006,8213.405624,332.147075,470.1075989
2000-01-31,3311.631937,455.2347053,1285.614711,2799.811097,12572.73443,2721.309192,5559.693159,267.5988003,1199.293144,2788.906809,1492.461575,2418.802689,8026.139976,311.2882387,416.6093542
2000-02-29,3041.402771,428.6489985,1136.869089,2699.297879,15727.2335,2614.361741,5519.663368,265.9664476,1190.778163,2470.413651,1387.840018,2242.471973,7091.897283,301.8873339,363.3666787
2000-03-31,3334.289857,451.58172,974.7515565,2903.634728,16444.39535,2989.784087,6451.934511,265.5409013,1344.74578,2676.940233,1526.762804,2515.380812,7101.116749,312.2722582,454.4263684
2000-04-30,3726.735774,480.8442154,1016.568398,2674.247585,15408.39844,2822.356178,6488.710538,287.2887011,1246.041439,2647.761584,1604.93306,2421.557107,7362.437846,297.6891437,473.9667022
2000-05-31,3153.936485,465.0725251,1044.930657,2395.858411,13613.32002,2736.55655,6515.314251,302.5437311,1172.151182,2611.48725,1593.859022,2419.13555,8236.359218,300.725573,450.0787805
2000-06-30,2770.733202,419.1233597,1018.493911,2496.005293,15447.03423,2677.99424,6565.482171,307.4146852,1170.979031,2470.728088,1428.575841,2262.375567,8734.658951,286.1704552,419.608447
2000-07-31,2898.18693,439.4508426,991.6056717,2311.051301,14931.10329,2622.024161,6528.715471,303.3568114,1157.04438,2581.910852,1528.719008,2261.470616,9308.526044,267.5121416,444.7010321
2000-08-31,3042.22682,423.4108868,1026.31187,2288.865208,16851.24317,2483.843487,6974.626737,342.8842039,1189.673032,2635.872788,1685.106962,2303.760117,8300.412673,281.4762754,455.9519683
2000-09-30,2889.507034,446.9101911,1008.556675,2195.708394,13838.24089,2547.181496,6210.90511,338.975324,1181.702223,2481.67423,1810.310409,2193.870759,8753.615205,265.3758324,450.3437591
2000-10-31,2952.787238,433.3688123,1109.412342,2186.486419,12911.07875,2503.115256,5549.443715,321.4502997,1160.667923,2746.717038,2066.650363,2301.15104,9540.565212,251.8151274,469.5734376
2000-11-30,2562.724043,431.3319789,1111.298343,1847.362375,9701.384573,2485.59345,5022.246562,295.3806804,1099.500723,2743.970321,2051.357151,2281.821371,9941.268951,261.963277,488.6850765
2000-12-31,2600.652359,459.5842235,1146.304241,1766.447903,8907.811315,2592.722527,5326.594704,292.7222543,1213.958749,3057.057335,2052.793101,2560.203578,9685.778339,277.1571471,566.1416611
2001-01-31,2987.889496,522.0417194,1100.795963,2020.639757,10164.70349,2850.698419,5514.623497,283.0331477,1248.07099,2930.189455,1936.810291,2454.46717,9225.703868,281.53623,586.7492176
2001-02-28,2964.583958,513.8978686,1088.907366,1820.798485,6943.508955,2673.670047,4722.172101,286.9673084,1249.693482,3001.979097,2001.887116,2429.186158,8649.097376,288.6027894,518.0995591
2001-03-31,2896.991443,492.5197173,992.4301737,1717.195051,5984.610368,2619.394545,4160.705838,264.9856126,1167.463651,2819.15857,1816.312181,2309.913118,7836.947133,281.3299991,511.8823644
2001-04-30,3104.70573,520.3470813,1009.996188,1760.296647,6934.368034,2749.840393,4612.558492,298.8242753,1224.902862,2977.877197,2045.89404,2457.978549,7664.534296,301.867089,546.9974946
2001-05-31,2971.824325,531.9508212,1064.333983,1737.76485,6478.086617,2794.937776,4794.293296,302.6791085,1265.569637,3029.990048,2094.995497,2521.640193,8025.533861,331.9330511,567.0176029
2001-06-30,3099.612771,552.0585623,1073.380822,1685.631904,6381.563127,2725.064331,4417.941273,300.4392831,1275.567638,2895.155491,1809.238111,2461.120829,7629.072488,318.1246361,553.1256716
2001-07-31,3215.848249,601.2469802,1120.716916,1674.33817,6100.774349,2872.762818,4205.438297,273.2795719,1270.082697,3056.415652,1870.39036,2378.181057,7690.105068,300.3732815,556.3891131
2001-08-31,2758.876213,585.9151822,1131.812013,1519.629323,5418.097699,2630.876189,4095.676358,259.0143782,1216.23119,3005.984794,1765.46146,2354.637064,8159.201477,307.5522029,537.1380498
2001-09-30,2268.072135,481.4465052,1072.618245,1482.398405,4092.289192,2368.314745,3544.39832,230.0565707,1116.743479,2748.371897,1339.279064,2128.82737,7896.47519,301.0628514,446.3080056
2001-10-31,2215.679669,508.3593648,1085.060617,1343.201195,4889.467127,2451.916256,3638.679315,228.1010899,1116.966828,2774.756267,1396.600208,2201.633266,8002.287957,288.8999122,480.1381524
